GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Octopus sp. OM870,,62086204,62086203,0,0,62086205,0,0,0,0,0
Octopus sp. OM949,,62086212,62086211,0,0,62086213,0,0,0,0,0
Octopus sp. TL 2006,,0,118430808,0,0,0,0,0,0,0,0
Octopus sp. xSA MG 2004,,0,0,0,0,0,76359290,0,0,0,0
Octopus tehuelchus,,0,18076191,0,0,0,0,0,0,0,0
Octopus tetricus,,0,0,0,0,4003461,76359304,0,0,0,0
Octopus variabilis,,0,161016099,0,0,0,0,0,0,0,0
Octopus vulgaris,_,537938874,537938873,0,0,537938871,537938872,0,0,116829804,0
Octopus wolfi,,0,18076685,0,0,226088506,0,0,0,0,0
Ocythoe tuberculata,,0,0,49482069,0,0,0,0,0,0,0
Ommastrephes bartramii,_,62005898,209969935,49482115,49482168,4003463,0,50347067,48994330,48994362,48994392
Onychoteuthis banksii,_,0,209969966,209970012,209970058,154347379,0,209970249,0,0,0
Onychoteuthis borealijaponica,,0,0,0,0,154347377,0,0,0,0,0
Onychoteuthis compacta,,0,3176101,0,0,4003465,0,0,0,0,0
Onychoteuthis sp.,,0,3176102,0,0,0,0,0,0,0,0
Onychoteuthis sp. B3 JMS 2004,_,48994442,48994454,0,0,0,0,0,48994485,48994591,0
Onychoteuthis sp. BC,,0,3176100,0,0,0,0,0,0,0,0
Onykia carriboea,_,0,209969950,209970015,209970044,209970099,0,209970239,0,0,0
Onykia ingens,,0,498941,0,0,154347375,0,0,0,0,0
Onykia lonnbergii,,0,0,0,0,154347373,0,0,0,0,0
Onykia robsoni,,0,3176080,0,0,154347371,0,0,0,0,0
Onykia robusta,_,0,3176079,209970013,209970050,154347369,0,209970241,0,0,0
Onykia sp,,0,3176096,0,0,0,0,0,0,0,0
Onykia sp. Moroteuthis,,0,0,0,18076659,0,0,0,0,0,0
Onykia sp. A,,0,0,0,0,154347381,0,0,0,0,0
Opisthoteuthis californiana,,0,21912932,0,0,0,0,0,0,0,0
Opisthoteuthis sp. ARL 2004,,0,0,0,0,0,0,50346980,0,0,0
Opisthoteuthis depressa,,62005886,62005872,0,0,62084179,0,0,0,0,0
Opisthoteuthis hardyi,,0,28629082,0,0,0,0,0,0,0,0
Opisthoteuthis massyae,_,45510910,21912931,0,0,0,0,0,45510949,45511048,45511000
Opisthoteuthis sp,,0,18076193,0,0,0,0,0,0,0,0
Opisthoteuthis sp. B PCHH2001,,0,21912933,0,0,0,0,0,0,0,0
Opisthoteuthis sp. CYV 2001,,0,0,0,0,15421815,0,0,0,0,0
Opisthoteuthis sp. JMS 2004,,48994440,48994444,0,0,0,0,0,0,0,0
Opisthoteuthis sp. Thallassa,,0,28629083,0,0,0,0,0,0,0,0
Ornithoteuthis antillarum,_,0,209969923,49482099,49482152,0,0,50347037,0,0,0
Pareledone aequipapillae,_,129279691,129279669,0,0,0,0,0,129279547,154813169,161611107
Pareledone albimaculata,_,129279693,129279671,0,0,0,0,0,129279551,154813170,161611109
Pareledone aurata,_,129279689,129279667,0,0,0,0,0,129279543,154813168,161611103
Pareledone charcoti,_,129279687,129279665,0,0,15421835,0,0,129279541,154813167,161611105
Pareledone cornuta,_,129279697,129279675,0,0,0,0,0,129279559,154813171,161611111
Pareledone felix,_,129279695,129279673,0,0,0,0,0,129279557,129279528,0
Pareledone panchroma,_,129279705,129279683,0,0,0,0,0,129279575,154813175,161611115
Pareledone serperastrata,_,129279699,129279677,0,0,0,0,0,129279563,154813172,161611113
Pareledone subtilis,_,129279701,129279679,0,0,0,0,0,129279567,154813173,161611117
Pareledone turqueti,_,129279703,129279681,0,0,0,0,0,45510969,45511070,45511022
Pholidoteuthis adami,_,0,209969970,209970021,0,209970139,0,209970253,0,0,0
Planctoteuthis danae,,0,0,0,0,5678669,0,0,0,0,0
Planctoteuthis levimana,_,0,209969963,209969997,209970055,209970127,0,209970219,0,0,0
Psychroteuthis glacialis,,0,0,0,0,4927145,0,0,0,0,0
Psychroteuthis sp. ARL 2004,_,0,209969937,49482118,49482171,0,0,50347073,0,0,0
Pterygioteuthis gemmata,_,0,209969924,49482100,49482153,0,0,50347039,0,0,0
Pterygioteuthis giardi hoylei,_,0,209969978,209970025,209970069,209970155,0,209970196,0,0,0
Pterygioteuthis microlampas,_,48762895,209969969,209969996,209970059,209970133,0,209970194,48994322,48994358,48994388
Pyroteuthis addolux,,0,0,0,0,4003469,0,0,0,0,0
Pyroteuthis margaritifera,,0,0,49482101,49482154,0,0,50347041,0,0,0
Rondeletiola minor,_,34542060,34542086,0,34542095,34542154,0,0,0,0,0
Rossia bipapillata,,34542059,34542085,0,0,0,0,0,0,0,0
Rossia macrosoma,,0,498944,0,0,0,0,0,0,0,48994543
Rossia pacifica,_,62005904,62005893,0,0,5353806,0,0,48994342,48994374,48994404
Rossia palpebrosa,_,0,209969908,49482078,49482135,4003471,0,50346999,0,0,0
Rossia sp.,,0,93004781,0,0,5678677,0,0,0,0,0
Scaeurgus unicirrhus,,0,16944720,0,0,0,0,0,0,0,0
Selenoteuthis scintillans,_,0,209969946,209970019,209970040,209970093,0,0,0,0,0
Semirossia tenera,,38374163,38374164,0,0,38374165,0,0,0,0,0
Sepia aculeata,,77157322,14161382,0,0,13195589,0,0,0,0,0
Sepia andreana,,0,0,0,0,242117663,242117693,0,0,0,0
Sepia apama,_,48994424,48994451,0,0,0,0,0,0,48994583,48994537
Sepia aureomaculata,,0,0,0,0,242117665,242117695,0,0,0,0
Sepia bertheloti,,0,34559533,0,0,242117667,242117697,0,0,0,0
Sepia elegans,_,34542042,34542066,0,18026376,242117669,242117701,38607261,0,0,0
Sepia elliptica,,77157305,77157331,0,0,0,0,0,0,0,0
Sepia esculenta,_,1531239214,1531239213,0,0,1531239211,1531239212,0,0,0,0
Sepia filibrachia,,77157318,0,0,0,0,0,0,0,0,0
Sepia furcata,,0,0,0,0,46947386,0,0,0,0,0
Sepia gibba,,0,0,0,0,242117671,242117703,0,0,0,0
Sepia hierredda,,0,34559531,0,0,34996415,0,0,0,0,0
Sepia hirunda,,0,0,0,0,46947384,0,0,0,0,0
Sepia kobiensis,_,62241208,62241200,0,0,62909952,242117705,0,0,0,0
Sepia latimanus,_,62241207,62241199,0,0,62241218,242117707,0,0,0,0
